,Politische Strukturen und Prozesse,Sozialpolitik,Gesundheitspolitik,Familien- und Gleichstellungspolitik,Bildungspolitik,Umweltpolitik,Wirtschaftspolitik,Sicherheits,Außenpolitik,Medien und Kommunikation,Sonstiges,Migration und Integration,Ostdeutschland,keine Angabe,weiß nich,"Werte, politische Kultur und Gesellschaftskritik"
hat das Abitur,0.1577,0.1295,0.0355,0.0027,0.0049,0.1811,0.1874,0.0191,0.0216,0.0014,0.0019,0.0795,0.0052,0.0,0.0,0.1724
hat einen Fachhochschulreife,0.1575,0.1456,0.0275,0.0,0.0046,0.1676,0.2207,0.0165,0.0266,0.0018,0.0,0.065,0.0073,0.0,0.0,0.1593
hat einen Hauptschulabschluss,0.1495,0.198,0.041,0.0047,0.0056,0.1327,0.2161,0.0149,0.0144,0.0,0.0019,0.0899,0.0079,0.0,0.0,0.1234
hat einen Realschulabschluss,0.1626,0.1684,0.0294,0.0046,0.0051,0.1216,0.2022,0.0199,0.0199,0.0,0.0024,0.0964,0.0092,0.0,0.0,0.1583
hat keinen Schulabschluss,0.0588,0.451,0.0,0.0,0.0,0.0588,0.1569,0.0392,0.0196,0.0,0.0,0.0196,0.0196,0.0,0.0,0.1765
ist noch Schüler/in,0.0,0.3333,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.0
18-29 YEARS,0.1337,0.1799,0.033,0.0116,0.0033,0.203,0.1353,0.0149,0.0083,0.0,0.005,0.0908,0.0033,0.0,0.0,0.1782
30-44 YEARS,0.1715,0.1627,0.0302,0.0038,0.0027,0.1367,0.1791,0.0176,0.0176,0.0008,0.0011,0.0917,0.0088,0.0,0.0,0.1757
45-59 YEARS,0.1667,0.1422,0.0329,0.0027,0.0059,0.1439,0.201,0.0208,0.0211,0.0005,0.0025,0.0865,0.0076,0.0,0.0,0.1657
60 and more,0.1414,0.1753,0.0361,0.0029,0.0061,0.1507,0.2284,0.017,0.0225,0.0008,0.0013,0.0812,0.0072,0.0,0.0,0.1292
