,Politische Strukturen und Prozesse,Sozialpolitik,Gesundheitspolitik,Familien- und Gleichstellungspolitik,Bildungspolitik,Umweltpolitik,Wirtschaftspolitik,Sicherheits,Außenpolitik,Medien und Kommunikation,Sonstiges,Migration und Integration,Ostdeutschland,keine Angabe,weiß nich,"Werte, politische Kultur und Gesellschaftskritik"
keine Partei,0.0362,0.092,0.487,0.001,0.0083,0.0186,0.068,0.0411,0.0034,0.001,0.0284,0.1204,0.0,0.0612,0.0186,0.0147
männlich,0.0355,0.0992,0.5167,0.0012,0.0114,0.0344,0.0618,0.0411,0.0033,0.0007,0.0223,0.1157,0.0,0.0353,0.0049,0.0167
weiblich,0.024,0.079,0.5574,0.0011,0.012,0.0297,0.0758,0.0405,0.0025,0.0005,0.0174,0.1071,0.0002,0.0308,0.0102,0.0118
hat das Abitur,0.033,0.0901,0.5713,0.001,0.0181,0.0466,0.0741,0.0376,0.0031,0.001,0.0174,0.0643,0.0003,0.0184,0.0038,0.0198
hat einen Fachhochschulreife,0.031,0.0966,0.5207,0.0034,0.0161,0.0276,0.0632,0.0414,0.0034,0.0,0.0149,0.1218,0.0,0.031,0.0092,0.0195
hat einen Hauptschulabschluss,0.0249,0.0866,0.5139,0.0012,0.0047,0.0255,0.051,0.0404,0.0024,0.0006,0.0243,0.1591,0.0,0.0451,0.0119,0.0083
hat einen Realschulabschluss,0.0286,0.0861,0.5251,0.0006,0.0086,0.0234,0.0753,0.044,0.0028,0.0003,0.02,0.126,0.0,0.0403,0.008,0.0111
hat keinen Schulabschluss,0.0556,0.1944,0.4444,0.0,0.0,0.0556,0.0556,0.0278,0.0,0.0,0.0556,0.0556,0.0,0.0278,0.0278,0.0
ist noch Schüler/in,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0
18-29 YEARS,0.016,0.0665,0.5559,0.0027,0.0186,0.0745,0.0851,0.0239,0.0,0.0,0.0106,0.0505,0.0,0.0638,0.0106,0.0213
30-44 YEARS,0.0252,0.0735,0.5466,0.0,0.0116,0.0297,0.0825,0.0357,0.0005,0.0005,0.0257,0.0931,0.0,0.0539,0.0075,0.0141
45-59 YEARS,0.0286,0.0957,0.5494,0.0022,0.0092,0.028,0.0661,0.0353,0.0029,0.0013,0.0194,0.1113,0.0,0.0312,0.0073,0.0121
60 and more,0.0351,0.0946,0.5176,0.0006,0.0134,0.0323,0.0613,0.0513,0.0047,0.0,0.0177,0.1297,0.0003,0.0184,0.0075,0.0156
