,Politische Strukturen und Prozesse,Sozialpolitik,Gesundheitspolitik,Familien- und Gleichstellungspolitik,Bildungspolitik,Umweltpolitik,Wirtschaftspolitik,Sicherheits,Außenpolitik,Medien und Kommunikation,Sonstiges,Migration und Integration,Ostdeutschland,keine Angabe,weiß nich,"Werte, politische Kultur und Gesellschaftskritik"
die CDU/CSU,0.0403,0.0889,0.325,0.0019,0.0215,0.1616,0.1386,0.0196,0.0094,0.0004,0.0192,0.1194,0.0004,0.0347,0.0075,0.0117
die FDP,0.0345,0.1058,0.2961,0.0024,0.0202,0.1165,0.1558,0.0178,0.0095,0.0,0.0321,0.1617,0.0,0.0285,0.0012,0.0178
die Grünen,0.0259,0.0939,0.1913,0.0006,0.0205,0.5265,0.0632,0.0144,0.003,0.0,0.0102,0.0162,0.0,0.0193,0.003,0.012
die SPD,0.0267,0.1667,0.2738,0.0029,0.0197,0.234,0.1166,0.0172,0.0053,0.0004,0.0127,0.0764,0.0,0.0291,0.0066,0.0119
eine Kleinpartei,0.0676,0.1334,0.2565,0.0035,0.0295,0.1768,0.0815,0.0381,0.0052,0.0,0.0416,0.0953,0.0,0.0347,0.0035,0.0329
keine Partei,0.062,0.1266,0.2801,0.004,0.02,0.1342,0.0943,0.0237,0.0093,0.0007,0.0283,0.1096,0.0003,0.072,0.0247,0.0103
männlich,0.0475,0.1449,0.2431,0.0018,0.0184,0.1902,0.1075,0.0252,0.0071,0.0006,0.0221,0.1255,0.0004,0.0435,0.0059,0.0163
weiblich,0.0404,0.1201,0.2817,0.0029,0.022,0.2125,0.1025,0.0198,0.009,0.0001,0.0192,0.1093,0.0003,0.035,0.0132,0.0119
hat das Abitur,0.0373,0.1259,0.265,0.0016,0.0244,0.2673,0.1034,0.0258,0.0046,0.0002,0.0147,0.0781,0.0002,0.0256,0.0044,0.0214
hat einen Fachhochschulreife,0.0591,0.1312,0.2356,0.0031,0.0315,0.2011,0.1144,0.0223,0.01,0.0008,0.0215,0.112,0.0008,0.0315,0.0061,0.0192
hat einen Hauptschulabschluss,0.0427,0.1308,0.2591,0.0041,0.0114,0.159,0.1001,0.0193,0.0117,0.0,0.0289,0.1524,0.0003,0.0592,0.0158,0.0052
hat einen Realschulabschluss,0.0459,0.1403,0.2711,0.0016,0.0191,0.1695,0.1066,0.0215,0.0083,0.0006,0.0205,0.1326,0.0004,0.0402,0.0099,0.0118
hat keinen Schulabschluss,0.0833,0.0952,0.1667,0.0119,0.0,0.131,0.119,0.0238,0.0119,0.0,0.0357,0.119,0.0,0.1071,0.0952,0.0
ist noch Schüler/in,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.3333,0.0,0.0
18-29 YEARS,0.0246,0.0957,0.2691,0.0078,0.0155,0.2639,0.0841,0.022,0.0039,0.0,0.0259,0.0479,0.0,0.097,0.0194,0.0233
30-44 YEARS,0.0409,0.1043,0.3137,0.0026,0.0249,0.174,0.0995,0.023,0.0032,0.0003,0.0297,0.0899,0.0006,0.0688,0.0109,0.0138
45-59 YEARS,0.0414,0.1394,0.2741,0.0019,0.0149,0.1804,0.1069,0.0225,0.0079,0.0002,0.0187,0.1356,0.0,0.0348,0.0096,0.0117
60 and more,0.0512,0.1495,0.218,0.0018,0.023,0.2289,0.1099,0.0222,0.0119,0.0006,0.0159,0.1283,0.0006,0.0157,0.0073,0.0151
