,Politische Strukturen und Prozesse,Sozialpolitik,Gesundheitspolitik,Familien- und Gleichstellungspolitik,Bildungspolitik,Umweltpolitik,Wirtschaftspolitik,Sicherheits,Außenpolitik,Medien und Kommunikation,Sonstiges,Migration und Integration,Ostdeutschland,keine Angabe,weiß nich,"Werte, politische Kultur und Gesellschaftskritik"
hat einen Meisterabschluss oder Technikerabschluss.,0.0377,0.0587,0.5912,0.0,0.0042,0.0126,0.0839,0.0147,0.0126,0.0,0.0189,0.1216,0.0,0.0273,0.0042,0.0126
hat einen Universitätsabschluss.,0.0302,0.074,0.6116,0.0012,0.0154,0.0345,0.1134,0.0216,0.0031,0.0,0.0166,0.0493,0.0,0.0111,0.0043,0.0136
hat keine berufliche Ausbildung abgeschlossen.,0.0361,0.0967,0.5492,0.0033,0.0115,0.0197,0.0607,0.0131,0.0,0.0016,0.0361,0.1098,0.0,0.0344,0.0213,0.0066
Die Linke,0.0273,0.1569,0.5614,0.0019,0.0136,0.0244,0.1004,0.0185,0.0068,0.0,0.0127,0.0419,0.0,0.0166,0.0039,0.0136
die AfD,0.0515,0.0581,0.3844,0.0,0.0011,0.0022,0.08,0.0274,0.0044,0.0,0.0208,0.3439,0.0,0.0186,0.0022,0.0055
die CDU/CSU,0.0164,0.0361,0.6868,0.0014,0.005,0.0091,0.1128,0.01,0.0032,0.0,0.0178,0.0607,0.0,0.0279,0.0046,0.0082
die FDP,0.0169,0.0484,0.5811,0.0,0.0194,0.0048,0.1211,0.0266,0.0024,0.0,0.0169,0.1332,0.0,0.0218,0.0048,0.0024
die Grünen,0.0188,0.0686,0.6677,0.0023,0.0166,0.058,0.0882,0.0128,0.0015,0.0,0.0181,0.0256,0.0008,0.0113,0.0023,0.0075
die SPD,0.0165,0.0849,0.6596,0.0016,0.011,0.0165,0.0936,0.0142,0.0016,0.0,0.011,0.0542,0.0,0.022,0.0024,0.011
eine Kleinpartei,0.0622,0.0703,0.4973,0.0027,0.0189,0.0459,0.1135,0.0432,0.0027,0.0,0.0243,0.0973,0.0,0.0135,0.0054,0.0027
keine Partei,0.0362,0.0816,0.539,0.0023,0.0101,0.0101,0.0793,0.0183,0.0023,0.0009,0.0293,0.1072,0.0,0.0568,0.0188,0.0078
männlich,0.0331,0.0833,0.5802,0.0008,0.0096,0.0186,0.0915,0.0182,0.005,0.0004,0.0186,0.0967,0.0,0.0287,0.0061,0.0092
weiblich,0.022,0.0647,0.6071,0.0024,0.0108,0.0197,0.0991,0.0165,0.001,0.0,0.0203,0.0928,0.0002,0.0283,0.0077,0.0073
hat das Abitur,0.0251,0.0702,0.6287,0.0009,0.0118,0.0278,0.1058,0.0213,0.0037,0.0003,0.0183,0.0532,0.0003,0.0152,0.0043,0.013
hat einen Fachhochschulreife,0.0314,0.0847,0.5983,0.001,0.0105,0.022,0.0868,0.0146,0.001,0.001,0.0199,0.0921,0.0,0.0251,0.0031,0.0084
hat einen Hauptschulabschluss,0.0281,0.0719,0.5625,0.0016,0.007,0.0135,0.0741,0.0151,0.0022,0.0,0.0233,0.1428,0.0,0.0416,0.0114,0.0049
hat einen Realschulabschluss,0.028,0.0741,0.5795,0.0022,0.0105,0.0136,0.0993,0.0155,0.0033,0.0,0.018,0.1079,0.0,0.0344,0.0078,0.0058
hat keinen Schulabschluss,0.0417,0.1667,0.4583,0.0208,0.0,0.0208,0.0833,0.0208,0.0,0.0,0.0625,0.0833,0.0,0.0417,0.0,0.0
ist noch Schüler/in,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.0
18-29 YEARS,0.0176,0.0396,0.5903,0.0022,0.0154,0.0485,0.1101,0.022,0.0,0.0022,0.0308,0.0617,0.0,0.0441,0.0066,0.0088
30-44 YEARS,0.0261,0.0693,0.5759,0.0027,0.0117,0.0221,0.1018,0.0194,0.0014,0.0,0.023,0.0783,0.0,0.0491,0.0104,0.009
45-59 YEARS,0.0224,0.0731,0.5959,0.0014,0.0086,0.0152,0.0977,0.0172,0.0037,0.0003,0.0189,0.104,0.0003,0.0267,0.0072,0.0075
60 and more,0.0346,0.0819,0.6036,0.0011,0.0102,0.0176,0.087,0.0156,0.0037,0.0,0.0164,0.1,0.0,0.0153,0.0045,0.0085
