,Politische Strukturen und Prozesse,Sozialpolitik,Gesundheitspolitik,Familien- und Gleichstellungspolitik,Bildungspolitik,Umweltpolitik,Wirtschaftspolitik,Sicherheits,Außenpolitik,Medien und Kommunikation,Sonstiges,Migration und Integration,Ostdeutschland,keine Angabe,weiß nich,"Werte, politische Kultur und Gesellschaftskritik"
Die Linke,0.012,0.2163,0.3631,0.0009,0.0034,0.0155,0.2575,0.006,0.0034,0.0,0.0,0.0094,0.0137,0.0,0.0,0.0987
die AfD,0.0415,0.0888,0.3011,0.0,0.001,0.0227,0.2359,0.0079,0.0168,0.0,0.0,0.0977,0.0188,0.0,0.0,0.1678
die CDU/CSU,0.0074,0.0322,0.5619,0.0003,0.0007,0.0087,0.3207,0.004,0.0034,0.0,0.0,0.001,0.001,0.0,0.0,0.0587
die FDP,0.0188,0.0335,0.4833,0.0,0.0042,0.0042,0.3515,0.0021,0.0063,0.0021,0.0,0.0,0.0,0.0,0.0,0.0941
die Grünen,0.0076,0.0852,0.5289,0.0019,0.0013,0.0585,0.2645,0.0064,0.0025,0.0,0.0,0.0045,0.0019,0.0,0.0,0.0369
die SPD,0.0043,0.0926,0.5256,0.0006,0.0006,0.008,0.3008,0.0043,0.0025,0.0,0.0006,0.0043,0.0019,0.0,0.0,0.0537
eine Kleinpartei,0.0605,0.1058,0.3931,0.0043,0.0022,0.0216,0.2808,0.0,0.0022,0.0,0.0,0.0022,0.0065,0.0,0.0,0.121
keine Partei,0.0106,0.0694,0.5149,0.0011,0.0042,0.0081,0.3013,0.0103,0.0014,0.0,0.0,0.0039,0.0039,0.0,0.0,0.0708
männlich,0.0169,0.068,0.4736,0.0002,0.0015,0.0173,0.3013,0.0049,0.0064,0.0002,0.0,0.0098,0.0062,0.0,0.0,0.0939
weiblich,0.01,0.0946,0.5095,0.0017,0.0027,0.0169,0.2839,0.0074,0.0013,0.0,0.0002,0.0132,0.0033,0.0,0.0,0.0552
hat das Abitur,0.0112,0.0617,0.5361,0.0018,0.002,0.0194,0.2805,0.0051,0.0036,0.0,0.0,0.0089,0.0036,0.0,0.0,0.0661
hat einen Fachhochschulreife,0.0141,0.0721,0.5008,0.0,0.0017,0.0191,0.301,0.0041,0.0083,0.0008,0.0,0.0091,0.0058,0.0,0.0,0.063
hat einen Hauptschulabschluss,0.013,0.0918,0.4778,0.0008,0.0017,0.018,0.298,0.0054,0.005,0.0,0.0004,0.0113,0.0021,0.0,0.0,0.0746
hat einen Realschulabschluss,0.0156,0.0918,0.461,0.0004,0.0022,0.0143,0.2984,0.0079,0.0024,0.0,0.0,0.0141,0.007,0.0,0.0,0.0848
hat keinen Schulabschluss,0.0204,0.3469,0.1837,0.0,0.0204,0.0,0.2653,0.0,0.0,0.0,0.0,0.0408,0.0,0.0,0.0,0.1224
ist noch Schüler/in,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333
18-29 YEARS,0.0057,0.1088,0.4485,0.0019,0.0057,0.0229,0.3015,0.0095,0.0038,0.0,0.0019,0.0038,0.0057,0.0,0.0,0.0802
30-44 YEARS,0.0184,0.0706,0.4629,0.0011,0.0022,0.0209,0.2977,0.0058,0.005,0.0,0.0,0.013,0.0083,0.0,0.0,0.0943
45-59 YEARS,0.0199,0.0667,0.4981,0.0005,0.0018,0.0174,0.2862,0.0053,0.0041,0.0,0.0,0.0119,0.0039,0.0,0.0,0.0842
60 and more,0.0052,0.0986,0.5075,0.0011,0.0018,0.0137,0.2951,0.0067,0.0029,0.0002,0.0,0.011,0.0034,0.0,0.0,0.0528
