,Politische Strukturen und Prozesse,Sozialpolitik,Gesundheitspolitik,Familien- und Gleichstellungspolitik,Bildungspolitik,Umweltpolitik,Wirtschaftspolitik,Sicherheits,Außenpolitik,Medien und Kommunikation,Sonstiges,Migration und Integration,Ostdeutschland,keine Angabe,weiß nich,"Werte, politische Kultur und Gesellschaftskritik"
hat einen Meisterabschluss oder Technikerabschluss.,0.0575,0.1149,0.3261,0.0014,0.0273,0.0833,0.1078,0.0316,0.0101,0.0,0.0417,0.1322,0.0029,0.0359,0.0072,0.0201
hat einen Universitätsabschluss.,0.0418,0.1148,0.3273,0.0031,0.037,0.1654,0.1223,0.0352,0.0044,0.0,0.0198,0.0748,0.0,0.0268,0.0035,0.0238
hat keine berufliche Ausbildung abgeschlossen.,0.042,0.1387,0.3217,0.0035,0.0082,0.0816,0.1107,0.0245,0.0,0.0012,0.0315,0.1131,0.0,0.0793,0.0291,0.0152
Die Linke,0.0512,0.2694,0.262,0.0017,0.0339,0.1165,0.1058,0.0223,0.0025,0.0,0.0248,0.057,0.0008,0.0215,0.0074,0.0231
die AfD,0.0739,0.0872,0.2148,0.0023,0.0109,0.0202,0.0981,0.049,0.007,0.0008,0.0257,0.365,0.0,0.0288,0.007,0.0093
die CDU/CSU,0.0359,0.0746,0.4221,0.0026,0.0209,0.0847,0.1434,0.03,0.0046,0.0003,0.0205,0.0981,0.0003,0.0407,0.0075,0.0137
die FDP,0.0445,0.079,0.3615,0.0056,0.0367,0.0556,0.1713,0.0334,0.0056,0.0011,0.0211,0.1491,0.0011,0.0167,0.0033,0.0145
die Grünen,0.0306,0.1054,0.3267,0.0026,0.0216,0.323,0.0796,0.0242,0.0021,0.0,0.0163,0.0242,0.0005,0.0211,0.0037,0.0184
die SPD,0.0251,0.1391,0.3884,0.0033,0.0284,0.1118,0.138,0.0284,0.0027,0.0,0.0175,0.0627,0.0005,0.0284,0.0065,0.0191
eine Kleinpartei,0.107,0.1681,0.2683,0.0068,0.0221,0.1256,0.1036,0.034,0.0051,0.0017,0.0323,0.0764,0.0,0.0221,0.0017,0.0255
keine Partei,0.0532,0.1227,0.3331,0.0027,0.0223,0.0652,0.1154,0.0276,0.002,0.0007,0.0406,0.1064,0.0007,0.0741,0.0249,0.0086
männlich,0.053,0.1304,0.3224,0.002,0.0203,0.1128,0.1134,0.0313,0.0051,0.0007,0.0242,0.1185,0.0009,0.0413,0.0074,0.0164
weiblich,0.0389,0.1105,0.36,0.0039,0.0269,0.1141,0.1274,0.0286,0.002,0.0001,0.0264,0.0989,0.0001,0.0357,0.0128,0.0135
hat das Abitur,0.0451,0.1182,0.35,0.0029,0.0321,0.1583,0.1146,0.0326,0.0043,0.0,0.0192,0.0729,0.0002,0.0231,0.0041,0.0224
hat einen Fachhochschulreife,0.0576,0.116,0.3385,0.0044,0.0303,0.1013,0.1308,0.0281,0.0052,0.0007,0.0281,0.1005,0.0007,0.0325,0.0081,0.017
hat einen Hauptschulabschluss,0.0355,0.1233,0.3175,0.0027,0.0125,0.0848,0.1233,0.0301,0.0024,0.0003,0.0334,0.1543,0.0,0.0571,0.0172,0.0057
hat einen Realschulabschluss,0.0491,0.1231,0.3498,0.0026,0.0211,0.0947,0.1213,0.0278,0.0032,0.0008,0.0241,0.1163,0.001,0.041,0.0109,0.0133
hat keinen Schulabschluss,0.0952,0.0595,0.25,0.0119,0.0,0.0833,0.1071,0.0476,0.0,0.0,0.0714,0.0595,0.0,0.1429,0.0595,0.0119
ist noch Schüler/in,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.0,0.0,0.0,0.0
18-29 YEARS,0.0202,0.0982,0.3224,0.0063,0.0176,0.1725,0.1146,0.029,0.0013,0.0013,0.0365,0.0529,0.0,0.0819,0.0227,0.0227
30-44 YEARS,0.0444,0.1062,0.3689,0.0041,0.0247,0.0945,0.1154,0.0314,0.0022,0.0006,0.0269,0.0872,0.0006,0.0634,0.0124,0.0171
45-59 YEARS,0.0448,0.1253,0.3495,0.0025,0.0179,0.1047,0.1214,0.0271,0.0027,0.0002,0.0271,0.1208,0.0004,0.0327,0.009,0.0138
60 and more,0.0521,0.1282,0.3189,0.0022,0.0291,0.1245,0.1235,0.0319,0.0055,0.0004,0.0208,0.1195,0.0006,0.0216,0.0077,0.0135
