,Politische Strukturen und Prozesse,Sozialpolitik,Gesundheitspolitik,Familien- und Gleichstellungspolitik,Bildungspolitik,Umweltpolitik,Wirtschaftspolitik,Sicherheits,Außenpolitik,Medien und Kommunikation,Sonstiges,Migration und Integration,Ostdeutschland,keine Angabe,weiß nich,"Werte, politische Kultur und Gesellschaftskritik"
hat einen Universitätsabschluss.,0.0329,0.0735,0.003,0.0005,0.0005,0.4207,0.1019,0.0395,0.002,0.0,0.0426,0.1196,0.0218,0.0375,0.0,0.1039
hat keine berufliche Ausbildung abgeschlossen.,0.0219,0.1858,0.0077,0.0,0.0,0.1961,0.0826,0.0568,0.0013,0.0,0.0774,0.1729,0.0232,0.0723,0.0,0.1019
Die Linke,0.0196,0.3835,0.0007,0.0,0.0007,0.1952,0.0581,0.0483,0.0007,0.0,0.0378,0.0609,0.049,0.0273,0.0,0.1183
die AfD,0.0177,0.0,0.0,0.0,0.0,0.0104,0.0088,0.0265,0.0008,0.0,0.0482,0.7071,0.0008,0.0474,0.0,0.1324
die CDU/CSU,0.0338,0.0704,0.0078,0.0018,0.0,0.374,0.2273,0.0238,0.0023,0.0,0.0375,0.1358,0.0064,0.0338,0.0,0.0453
die FDP,0.0578,0.0621,0.0,0.0,0.0,0.3815,0.2731,0.013,0.0043,0.0,0.0592,0.0477,0.0043,0.0564,0.0,0.0405
die Grünen,0.0032,0.0208,0.0,0.0006,0.0,0.7319,0.058,0.0,0.0,0.0,0.0984,0.0013,0.0006,0.0839,0.0,0.0013
die SPD,0.044,0.1552,0.0012,0.0012,0.0012,0.3169,0.1546,0.0208,0.0018,0.0,0.0642,0.0874,0.0125,0.0476,0.0,0.0916
eine Kleinpartei,0.0254,0.1252,0.002,0.0,0.0,0.2701,0.1194,0.0528,0.002,0.0,0.0744,0.0724,0.0235,0.0724,0.0,0.1605
keine Partei,0.0175,0.1069,0.0084,0.0007,0.0003,0.3097,0.1802,0.0521,0.0057,0.0,0.0568,0.0884,0.0293,0.0514,0.0,0.0925
männlich,0.0281,0.0823,0.0024,0.0003,0.0,0.337,0.153,0.019,0.0025,0.0,0.0891,0.1334,0.0116,0.0782,0.0,0.0631
weiblich,0.0218,0.1503,0.0052,0.0012,0.0007,0.3335,0.1273,0.0433,0.0025,0.0,0.0243,0.151,0.0227,0.0202,0.0,0.096
hat das Abitur,0.0276,0.0775,0.0017,0.0002,0.0002,0.3949,0.123,0.0385,0.0012,0.0,0.0636,0.1131,0.0176,0.0577,0.0,0.083
hat einen Fachhochschulreife,0.0297,0.0866,0.0033,0.0033,0.0,0.3507,0.1345,0.0289,0.0025,0.0,0.0668,0.137,0.014,0.0586,0.0,0.0842
hat einen Hauptschulabschluss,0.0206,0.1727,0.0053,0.0,0.0004,0.2442,0.1419,0.0304,0.0029,0.0,0.0572,0.1834,0.0144,0.0481,0.0,0.0785
hat einen Realschulabschluss,0.0239,0.1252,0.0048,0.0009,0.0004,0.3308,0.1572,0.0254,0.0035,0.0,0.0486,0.1458,0.0184,0.0401,0.0,0.0751
hat keinen Schulabschluss,0.0303,0.1818,0.0,0.0,0.0,0.0909,0.1212,0.0,0.0,0.0,0.1364,0.197,0.0303,0.1515,0.0,0.0606
ist noch Schüler/in,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.0
18-29 YEARS,0.0296,0.1012,0.0016,0.0,0.0,0.3894,0.1558,0.0452,0.0016,0.0,0.0343,0.109,0.0156,0.0296,0.0,0.0872
30-44 YEARS,0.027,0.0816,0.0032,0.0007,0.0007,0.3645,0.1642,0.0385,0.0032,0.0,0.0312,0.1558,0.0196,0.0249,0.0,0.0851
45-59 YEARS,0.0203,0.1076,0.0029,0.0004,0.0004,0.3311,0.1427,0.0285,0.0022,0.0,0.0592,0.1559,0.0186,0.0521,0.0,0.0782
60 and more,0.028,0.1486,0.0054,0.0012,0.0,0.3121,0.1201,0.0262,0.0026,0.0,0.0769,0.1229,0.0138,0.0673,0.0,0.075
