,Politische Strukturen und Prozesse,Sozialpolitik,Gesundheitspolitik,Familien- und Gleichstellungspolitik,Bildungspolitik,Umweltpolitik,Wirtschaftspolitik,Sicherheits,Außenpolitik,Medien und Kommunikation,Sonstiges,Migration und Integration,Ostdeutschland,keine Angabe,weiß nich,"Werte, politische Kultur und Gesellschaftskritik"
weiblich,0.0129,0.0097,0.4292,0,0.0009,0.0105,0.041,0.0178,0.2849,0.0006,0.0056,0.0704,0.0039,0.0002,0,0.1124
hat das Abitur,0.0158,0.0059,0.4079,0,0.0003,0.0161,0.0395,0.0191,0.3128,0.0003,0.0062,0.0724,0.0043,0.0,0,0.0993
hat einen Fachhochschulreife,0.0099,0.0187,0.4226,0,0.0,0.0066,0.0428,0.0176,0.3008,0.0,0.0044,0.0593,0.0022,0.0,0,0.1153
hat einen Hauptschulabschluss,0.0098,0.0125,0.4681,0,0.0005,0.0125,0.048,0.0191,0.2431,0.0011,0.0065,0.0703,0.0038,0.0005,0,0.1041
hat einen Realschulabschluss,0.0132,0.0094,0.4199,0,0.0009,0.0108,0.0459,0.0184,0.2982,0.0,0.0044,0.0708,0.0044,0.0,0,0.1035
hat keinen Schulabschluss,0.0,0.0233,0.5349,0,0.0,0.0,0.0698,0.0,0.1628,0.0,0.0,0.0465,0.0,0.0,0,0.1628
ist noch Schüler/in,0.0,0.0,0.3333,0,0.0,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0,0.0
18-29 YEARS,0.0078,0.0058,0.5039,0,0.0039,0.0058,0.0428,0.0097,0.2393,0.0,0.0039,0.0661,0.0058,0.0,0,0.1051
30-44 YEARS,0.0138,0.0119,0.4198,0,0.0005,0.0133,0.045,0.022,0.2853,0.0,0.006,0.0661,0.0055,0.0,0,0.1107
45-59 YEARS,0.0142,0.0077,0.4381,0,0.0003,0.011,0.0424,0.019,0.2927,0.0,0.005,0.0702,0.003,0.0003,0,0.0963
60 and more,0.0119,0.0113,0.4057,0,0.0003,0.0144,0.0452,0.0173,0.3039,0.0009,0.0057,0.0728,0.0038,0.0,0,0.1064
