,model,text,label,labels_list,labels
36,google/gemma-7b-it,"Als deutscher Staatsbürger in Ostdeutschland, der hauptsächlich der AfD nahe steht, ist das wichtigste Problem in November 2019 meiner Ansicht nach die Situation mit der Corona-Pandemie.",2,[2],"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
37,google/gemma-7b-it,"Als 64-jährige Frau mit deutscher Staatsbürgerschaft, die in Westdeutschland lebt und hauptsächlich die SPD unterstützt, sieht ich das wichtigste Problem, mit dem Deutschland im November 2019 konfrontiert ist, in der wachsenden Spaltung innerhalb der Gesellschaft.",16,[16],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
38,google/gemma-7b-it,"Als 63-jähriger deutscher Mann mit Realschulabschluss, Lehre und Unterstützung der CDU/CSU lebt ich in Westdeutschland. In November 2019 war das wichtigste Problem, das Deutschland konfrontiert war, die Covid-19-Pandemie.",2,[2],"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
39,google/gemma-7b-it,"Als 64-jährige Frau mit deutscher Staatsbürgerschaft, die in Westdeutschland lebt und hauptsächlich die SPD unterstützt, würde ich das wichtigste Problem, mit dem Deutschland im November 2019 konfrontiert war, in einem prägnanten Satz umschreiben: Die Situation in der Ukraine war das wichtigste Problem, mit dem Deutschland im November 2019 konfrontiert war.",8,[8],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
40,google/gemma-7b-it,"Als 55-jährige Frau mit deutscher Staatsbürgerschaft, die in Westdeutschland lebt und hauptsächlich die FDP unterstützt, wird das wichtigste Problem, mit dem Deutschland im November 2019 konfrontiert ist, für mich in diesem Fall als die Situation in der EU bezüglich Brexit betrachtet.",8,[8],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
41,google/gemma-7b-it,"Als 34-jähriger Mann mit deutscher Staatsbürgerschaft, der das Abitur und einen Universitätsabschluss abgeschlossen hat, und der in Ostdeutschland lebt und hauptsächlich die Grünen unterstützt, würde ich sagen, dass das wichtigste Problem, mit dem Deutschland im November 2019 konfrontiert war, die Situation um die COVID-19-Pandemie war.",2,[2],"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
42,google/gemma-7b-it,"Als 55-jährige Frau mit deutscher Staatsbürgerschaft, die in Westdeutschland lebt und hauptsächlich der CDU/CSU vorsteht, wäre das wichtigste Problem, das Deutschland im November 2019 konfrontiert war, die Situation mit der Covid-19-Pandemie.",2,[2],"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
43,google/gemma-7b-it,"Als 23-jährige Frau mit deutscher Staatsbürgerschaft, die in Westdeutschland lebt und hauptsächlich einer Kleinpartei unterstützt, sieht ich das wichtigste Problem, mit dem Deutschland im November 2019 konfrontiert ist, in der Situation der zunehmenden Spaltung innerhalb der Gesellschaft.",16,[16],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
44,google/gemma-7b-it,"Als 55-jähriger deutscher Mann mit Realschulabschluss, Berufsfachschulabschluss und unterstützter AfD, ist das wichtigste Problem, das Deutschland im November 2019 konfrontiert war, die Situation um die COVID-19-Pandemie.",2,[2],"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
45,google/gemma-7b-it,"Als deutscher Staatsbürger, der 28 Jahre alt, männlich, in Westdeutschland lebt und hauptsächlich der CDU/CSU zugehört, würde ich sagen, dass das wichtigste Problem, mit dem Deutschland im November 2019 konfrontiert war, die Situation um die Corona-Pandemie war.",2,[2],"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
46,google/gemma-7b-it,"Als deutscher Staatsbürger mit neuem Realschulabschluss und Meisterabschluss, der in Westdeutschland lebt und hauptsächlich der AfD zuge affinityert ist, wäre ich in November 2019 hauptsächlich mit der Situation in der Ukraine beschäftigt.",8,[8],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
48,google/gemma-7b-it,"Als 57-jähriger Mann mit deutscher Staatsbürgerschaft, Abitur und Fachhochschulabschluss, der in Westdeutschland lebt und hauptsächlich Die Linke unterstützt, sieht ich das wichtigste Problem, mit dem Deutschland im November 2019 konfrontiert ist, in der wachsenden Spaltung innerhalb der Gesellschaft.",16,[16],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
49,google/gemma-7b-it,"Als deutscher Staatsbürger, der 64 Jahre alt, männlich, mit einem Hauptschulabschluss und einer gewerblichen Lehre in Westdeutschland lebt, bemängelt ich die Situation in Deutschland hinsichtlich der Corona-Pandemie in November 2019. Das wichtigste Problem, mit dem sich Deutschland in dieser Phase konfrontiert, ist die Steigerung der Corona-Fallzahlen und die damit verbundene Belastung des Gesundheitssystems.",2,[2],"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
50,google/gemma-7b-it,"Als deutscher Staatsbürger, der 64 Jahre alt, männlich, mit einem Realschulabschluss und einer kaufmännischen Lehre ist, bin ich im November 2019 in Deutschland hinsichtlich zweier wichtiger Probleme konfrontiert: der Situation in Afghanistan und der Situation in der eigenen Wirtschaft.","8,6","[8, 6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
51,google/gemma-7b-it,"Als 63-jähriger deutscher Mann mit Abitur und einem Universitätsabschluss, der in Westdeutschland lebt und hauptsächlich die Grünen unterstützt, wäre das wichtigste Problem, das Deutschland im November 2019 konfrontiert war, die Situation mit der Corona-Pandemie.",2,[2],"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
52,google/gemma-7b-it,"Als 31-jährige Frau mit deutscher Staatsbürgerschaft, die in Ostdeutschland lebt und hauptsächlich keine Partei unterstützt, würde ich das wichtigste Problem, mit dem Deutschland im November 2019 konfrontiert war, mit einem: dem schwierigen Verhältnis zwischen Deutschland und der europäischen Union.",8,[8],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
53,google/gemma-7b-it,"Deutschland ist im November 2019 hinsichtlich der Situation in Afghanistan in einem schwierigen Zustand. Die Lage in Afghanistan ist für Deutschland ein wichtiger Problem, da das Land ein wichtiger Partner für Deutschland ist und die Situation in Afghanistan die Sicherheit Deutschlands beeinflussen könnte.",8,[8],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
55,google/gemma-7b-it,"Als deutscher Staatsbürger, der 50 Jahre alt, männlich, mit einem Realschulabschluss und einer Kaufmännischen Lehre ist, und der in Westdeutschland lebt und hauptsächlich die Grünen unterstützt, ist das wichtigste Problem, das Deutschland im November 2019 konfrontiert ist, die Situation um die Corona-Pandemie.",2,[2],"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
56,google/gemma-7b-it,"Als 50-jähriger deutscher Mann mit dem Abitur und einem Berufsfachschulabschluss, der in Westdeutschland lebt und hauptsächlich einer Kleinpartei gegenüber steht, wäre ich in November 2019 insbesondere mit der Situation um die Corona-Pandemie beschäftigt.",2,[2],"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
57,google/gemma-7b-it,"Als deutscher Staatsbürger, der 64 Jahre alt, männlich, mit einem Hauptschulabschluss und einer Lehre abgeschlossen ist, sowie supporter der SPD in Westdeutschland lebt, in November 2019 konfrontiert Deutschland hauptsächlich mit der Situation der COVID-19-Pandemie.",2,[2],"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
58,google/gemma-7b-it,"Als 64-jährige Frau mit deutscher Staatsbürgerschaft, die das Abitur und einen Universitätsabschluss abgeschlossen hat, und die in Ostdeutschland lebt und hauptsächlich die SPD unterstützt, würde ich das wichtigste Problem, mit dem Deutschland im November 2019 konfrontiert war, in einem prägnanten Satz wie folgt beschreiben:

Deutschland war im November 2019 in einer Phase hoher Inflation und einem Rückgang des Trust in die Regierung.",6,[6],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
59,google/gemma-7b-it,"Als Deutsche Frau, die 64 Jahre alt ist, mit einem Realschulabschluss und einer Kaufmännischen Lehre, die in Westdeutschland lebt und hauptsächlich die FDP unterstützt, würde ich sagen, dass das wichtigste Problem, mit dem Deutschland im November 2019 konfrontiert war, die Situation in Afghanistan war.",8,[8],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
60,google/gemma-7b-it,"Als deutscher Staatsbürger in Ostdeutschland, der hauptsächlich der CDU/CSU zugehört, ist das wichtigste Problem, das Deutschland im November 2019 konfrontiert ist, die Situation in Afghanistan.",8,[8],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
61,google/gemma-7b-it,"Als 37-jährige Frau mit deutscher Staatsbürgerschaft, die in Westdeutschland lebt und hauptsächlich keine Partei unterstützt, sieht ich das wichtigste Problem, mit dem Deutschland im November 2019 konfrontiert ist, in der Situation der COVID-19-Pandemie.",2,[2],"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
63,google/gemma-7b-it,"Als 31-jährige Frau mit deutscher Staatsbürgerschaft, die das Abitur und einen Universitätsabschluss besitzt und in Westdeutschland lebt, sieht ich das wichtigste Problem, mit dem Deutschland im November 2019 konfrontiert ist, in der Situation der immer weiter wachsenden Spaltung innerhalb der Gesellschaft.",16,[16],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
