,Code,Category,Examples,Category_Eng
19,18,Terrorismus,"NSU, RAF, Terror, Terrorismus, Terrorbekämpfung, Gefahr von Anschlägen, Anschläge, Terrorgefahr durch Merkels Flüchtlingspolitik",Terrorism
20,19,Radikalisierung und Extremismus,"Extremismusbekämpfung, radikale Linke und Rechte im Zaum halten, Gefahr durch Islamismus, Fremdenfeindlichkeit, zu viele Nazis, rechte Szene, Salafisten, Hass",Radicalization and extremism
21,20,Recht und Justiz,"die abhanden gekommene Freiheit, Beckenbauer muss in den Knast, Durchsetzung der Gesetze, Rechtsstaatlichkeit, Sexualstrafrecht, Drogen entkriminalisieren, Cannabislegalisierung, öffentliche Hetze strafrechtlich verfolgen, Beschneidung der freien Meinungsäußerung, Missachtung der Grundrechte, Zensur, Staatstrojaner, Vorratsdatenspeicherung, Überwachung der Leute, Sperrung von Internetseiten",Law and justice
22,21,Außenpolitik,"die weltpolitische Lage, Rüstungsexporte und Krieg, friedliche Außenpolitik, zu viel Außenpolitik, Freihandelsabkommen TTIP mit den USA, Handelskonflikt mit den USA, Waffen an die Kurden, Umgang mit Autokraten wie Erdogan, zu viele Gelder gehen ins Ausland und zu wenig wird für uns Bürger gemacht, äußere Sicherheit, Menschenrechte",Foreign policy
23,22,Europa und Europäische Union,"Brexit, Europa zusammenhalten, gemeinsame europäische Außenpolitik, der Zusammenhalt Europas, Deutschland ohne Europa, Deutschland soll sich auch auf sich besinnen und sich nicht zu sehr von Brüssel abhängig machen",Europe and the European Union
24,23,(Beziehungen Deutschlands zu den) USA,"Trump, Die Abhängigkeit von den USA, Amerikas Importsteuern, US-hörig und russlandfeindlich, Trump und Nordkorea",Relations of Germany to the USA
25,24,(Beziehungen Deutschlands zu) Russland,"Konflikt mit Russland, wirtschaftliche Beziehungen zu Russland ausbauen, UdSSR, US-hörig und russlandfeindlich",Relations of Germany to Russia
26,25,(Beziehungen Deutschlands zur) Türkei,"Ärger mit der Türkei, Erdogan und die Flüchtlingsroute",Relations of Germany to Turkey
27,26,Internationale Konflikte und Frieden,"Atomwaffen Iran/Nordkorea, Kriegsgefahr, Japan China Konflikt, IS-Terror, Ost-West-Konflikt, Krieg im Nahen Osten, internationale Spannungen, Giftanschlag in England, Syrienkrieg, Frieden in Europa, kein Krieg, internationale Sicherheit",International conflicts and peace
28,27,Krieg in der Ukraine,"Ukraine, Ukraine-Krieg, Putinkrieg, Krimkrise, Waffen für die Ukraine",War in Ukraine
29,28,Verteidigung,"Aufrüstung, Wehrpflicht, Ausrüstung der Bundeswehr, deutsche Truppen in Afghanistan, Verteidigungsausgaben, NATO",Defense
30,29,Sozialpolitik,"ungerechte soziale Leistungen, wachsender Sozialstaat ohne Konzept, soziale Probleme, junge Menschen müssen vom Staat mehr gefördert werden, Obdachlosigkeit, Sozialbetrug, leere Sozialversicherungskassen (Arbeit Rente Krankenkasse), soziale Sicherheit, Grundsicherung bei Erkrankung, soziale Marktwirtschaft",Social policy
31,30,Soziale Gerechtigkeit,"die Ungleichheit, Chancengleichheit, Bevorzugung der Reichen, soziale Schieflage, die Armen werden ärmer und die Reichen reicher, ungerechte Einkommen, Vermögen besser verteilen, 2-Klassen-Gesellschaft, die Mittelschicht verschwindet",Social justice
32,31,Armut,"Dass Leute zur Tafel müssen, Menschen die hungern, zu wenig Geld für arme Kinder, Rentner an der Armutsgrenze, Hunger",Poverty
33,32,Arbeitsmarktpolitik,"Arbeit, Beschäftigungssituation, Überarbeitung unserer Arbeitswelt, Fachkräftemangel, Ausbildungsplätze, gerechte Tarifpolitik, Mini-Jobs, Leiharbeit, unfähige Jobagentur, Niedriglohnsektor, Erhalt der Arbeitsplätze, Vollbeschäftigung",Labor market policy
34,33,Arbeitslosigkeit und Grundsicherung,Arbeitslosigkeit bzw. die Unlust vieler Jugendlicher auf Arbeit und Hartz-IV,Unemployment and basic security
35,34,Lohnpolitik,"bessere Bezahlung der Arbeit, gerechtere Löhne, soziale Berufe sind unterbezahlt, Lohngefüge in Deutschland, Niedriglohnland, Leute können von Gehalt nichts sparen, Arbeiten gehen lohnt sich nicht",Wage policy
36,35,Rente und Demographischer Wandel,"auf Alte achten, Vorsorge für mein Alter, Lebensarbeitszeit, Überalterung, zu wenig Geburten, Generationenkonflikt",Pension and demographic change
37,36,Migration und Integration,"Grenzen dicht, zu viele Neubürger, Aussiedler, Aufenthaltsrecht, Ausweisung aller straftätigen Asylbewerber, Abschiebungen durchsetzen, Obergrenze für Flüchtlinge",Migration and integration
38,37,Gesundheitspolitik,"Kostenstruktur im Krankenhausbereich, Ärztemangel, Einführung der Bürgerversicherung, Gesundheitswesen (z.B. Pflege), keine Versicherung für Hebammen",Health policy
39,38,Pflege,"Im Sozialsystem fehlen Pfleger. Zu geringe Löhne in Altenpflege., Ausbildungsbedingungen der Pflegekräfte, schlechte Bezahlung der Pflegekräfte",Care
40,39,Corona-Pandemie,"Pandemie, Impfpflicht, Sofortige Wiederherstellung aller Grundrechte für alle Menschen (auch für Ungeimpfte) Abschaffung der Maskenpflicht Abschaffung der Testpflicht keine Impfpflicht, Epidemiebekämpfung, Corona-Leugner",Corona pandemic
41,40,Familienpolitik,"Elterngeld, Kinderbetreuung, Erziehung, mehr Erzieher, Zustand der Kinder Jugendlichen während der Pandemie, Vereinbarkeit von Beruf und Familie, Kinder fördern, Perspektivlosigkeit bei der Jugend",Family policy
42,41,Gleichstellung,"Feminismus, Ehe für alle, Adoptionen für Homosexuelle, Gleichberechtigung aller Kulturen, zu viel Genderpolitik, Frauen verdienen weniger als Männer, Barrierefreiheit, Integration von Behinderten, Inklusion",Equality
43,42,Bildungspolitik,"Bildung, Bafög, Bildungsföderalismus, in Bildung investieren, Bildungschancen für alle, zu viele Studenten, kostenlose Bildung für alle",Education policy
44,43,Schulpolitik,"Lehrermangel, Ganztagsschulen, Pisa-Studie, Zustand der Schulen, Bildung der Schüler, Schule",School policy
45,44,Energiepolitik,"Ausbau/Finanzierung alternativer Energien, mehr Atomkraft, steigende Energiepreise, die Abhängigkeit von Energie, Braunkohle soll nicht mehr abgebaut werden, Energie und Klima, Strom und Gas, Energiesicherheit, weg von Fossilen, Windräder",Energy policy
46,45,Umweltpolitik,"Massentierhaltung, Artenschutz, Abgase, Agrarwende, ökologische Landwirtschaft, nachhaltige Forstwirtschaft, Nachhaltigkeit, ökologische Gerechtigkeit, Feinstaub und Smog, Verschwendung von natürlichen Ressourcen, sozialverträglicher Umweltschutz, Plastik, Ökosteuer, Dieselskandal",Environmental policy
47,46,Klimapolitik,"Klimaschutzziele, Co2-Emmissionen, Klimakatastrophe",Climate policy
48,47,Naturkatastrophen,"Flutopfer im Ahrtal, Katastrophenschutz",Natural disasters
49,48,Wirtschaftspolitik,"Innovationskultur, Autoindustrie, die Wirtschaft in der EU, Konjunktur anheben, Banken, persönliche Wirtschaftslage, Wirtschaftswachstum, Finanzkrise, Besteuerung von KMU, Landwirtschaft, Investitionsstau, sozialökologische Wirtschaft, Börsenkapital, Kapitalismus, Finanzwirtschaft, der Mittelstand…",Economic policy
50,49,Preisniveau,"die hohen Preise, alles wird teurer, Kaufkraftverlust, Preisanstieg, unbezahlbare Lebensmittel, Kosten für Bürger sollten niedriger sein, hohe Lebenshaltungskosten, Geldentwertung",Price level
51,50,Infrastruktur,"Investitionen in die Infrastruktur, schlechte/öffentliche Infrastruktur",Infrastructure
52,51,Digitale Infrastruktur,"Digitalisierung in deutschen Behörden, Breitbandausbau, Glasfaser, schlechter Mobilfunk, Arbeitslosigkeit infolge von Digitalisierung",Digital infrastructure
53,52,Verkehrspolitik,"Verkehrswende, E-Mobilität, E-Autos, marode Straßen, Verbot der Benziner, Verkehr und Lärm, Verkehrsinfrastruktur, Straßenbau",Transport policy
