Code,Category,Examples,Category_Eng,Example_Eng
27,Krieg in der Ukraine,"Ukraine, Ukraine-Krieg, Putinkrieg, Krimkrise, Waffen für die Ukraine",War in Ukraine,"Ukraine, Ukraine war, Putin war, Crimea crisis, weapons for Ukraine"
28,Verteidigung,"Aufrüstung, Wehrpflicht, Ausrüstung der Bundeswehr, deutsche Truppen in Afghanistan, Verteidigungsausgaben, NATO",Defense,"Armament, conscription, equipment of the Bundeswehr, German troops in Afghanistan, defense spending, NATO"
29,Sozialpolitik,"ungerechte soziale Leistungen, wachsender Sozialstaat ohne Konzept, soziale Probleme, junge Menschen müssen vom Staat mehr gefördert werden, Obdachlosigkeit, Sozialbetrug, leere Sozialversicherungskassen (Arbeit Rente Krankenkasse), soziale Sicherheit, Grundsicherung bei Erkrankung, soziale Marktwirtschaft",Social policy,"Unfair social benefits, growing welfare state without concept, social problems, young people need more support from the state, homelessness, social fraud, empty social insurance funds (work pension health insurance), social security, basic security in case of illness, social market economy"
30,Soziale Gerechtigkeit,"die Ungleichheit, Chancengleichheit, Bevorzugung der Reichen, soziale Schieflage, die Armen werden ärmer und die Reichen reicher, ungerechte Einkommen, Vermögen besser verteilen, 2-Klassen-Gesellschaft, die Mittelschicht verschwindet",Social justice,"The inequality, equal opportunities, favoring the rich, social imbalance, the poor get poorer and the rich get richer, unfair income, better distribution of wealth, two-class society, the middle class is disappearing"
31,Armut,"Dass Leute zur Tafel müssen, Menschen die hungern, zu wenig Geld für arme Kinder, Rentner an der Armutsgrenze, Hunger",Poverty,"That people have to go to food banks, people who are starving, too little money for poor children, pensioners at the poverty line, hunger"
32,Arbeitsmarktpolitik,"Arbeit, Beschäftigungssituation, Überarbeitung unserer Arbeitswelt, Fachkräftemangel, Ausbildungsplätze, gerechte Tarifpolitik, Mini-Jobs, Leiharbeit, unfähige Jobagentur, Niedriglohnsektor, Erhalt der Arbeitsplätze, Vollbeschäftigung",Labor market policy,"Work, employment situation, overhaul of our working world, shortage of skilled workers, training places, fair tariff policy, mini-jobs, temporary work, incompetent job agency, low-wage sector, preservation of jobs, full employment"
33,Arbeitslosigkeit und Grundsicherung,Arbeitslosigkeit bzw. die Unlust vieler Jugendlicher auf Arbeit und Hartz-IV,Unemployment and basic security,Unemployment or the unwillingness of many young people to work and Hartz-IV
34,Lohnpolitik,"bessere Bezahlung der Arbeit, gerechtere Löhne, soziale Berufe sind unterbezahlt, Lohngefüge in Deutschland, Niedriglohnland, Leute können von Gehalt nichts sparen, Arbeiten gehen lohnt sich nicht",Wage policy,"Better pay for work, fairer wages, social professions are underpaid, wage structure in Germany, low-wage country, people can’t save anything from salary, working doesn’t pay off"
35,Rente und Demographischer Wandel,"auf Alte achten, Vorsorge für mein Alter, Lebensarbeitszeit, Überalterung, zu wenig Geburten, Generationenkonflikt",Pension and demographic change,"Care for the elderly, provision for my old age, working life, aging population, too few births, generational conflict"
36,Migration und Integration,"Grenzen dicht, zu viele Neubürger, Aussiedler, Aufenthaltsrecht, Ausweisung aller straftätigen Asylbewerber, Abschiebungen durchsetzen, Obergrenze für Flüchtlinge",Migration and integration,"Close borders, too many new citizens, resettlers, residence law, deportation of all criminal asylum seekers, enforce deportations, cap on refugees"
37,Gesundheitspolitik,"Kostenstruktur im Krankenhausbereich, Ärztemangel, Einführung der Bürgerversicherung, Gesundheitswesen (z.B. Pflege), keine Versicherung für Hebammen",Health policy,"Cost structure in the hospital sector, shortage of doctors, introduction of citizens’ insurance, health system (e.g., care), no insurance for midwives"
38,Pflege,"Im Sozialsystem fehlen Pfleger. Zu geringe Löhne in Altenpflege., Ausbildungsbedingungen der Pflegekräfte, schlechte Bezahlung der Pflegekräfte",Care,"Lack of caregivers in the social system. Too low wages in elderly care., Training conditions of nursing staff, poor pay for nursing staff"
39,Corona-Pandemie,"Pandemie, Impfpflicht, Sofortige Wiederherstellung aller Grundrechte für alle Menschen (auch für Ungeimpfte) Abschaffung der Maskenpflicht Abschaffung der Testpflicht keine Impfpflicht, Epidemiebekämpfung, Corona-Leugner",Corona pandemic,"Pandemic, vaccination mandate, immediate restoration of all fundamental rights for all people (including the unvaccinated) abolition of the mask mandate abolition of the test mandate no vaccination mandate, epidemic control, corona deniers"
40,Familienpolitik,"Elterngeld, Kinderbetreuung, Erziehung, mehr Erzieher, Zustand der Kinder Jugendlichen während der Pandemie, Vereinbarkeit von Beruf und Familie, Kinder fördern, Perspektivlosigkeit bei der Jugend",Family policy,"Parental allowance, childcare, education, more educators, condition of children and adolescents during the pandemic, balancing work and family, promoting children, lack of prospects for the youth"
41,Gleichstellung,"Feminismus, Ehe für alle, Adoptionen für Homosexuelle, Gleichberechtigung aller Kulturen, zu viel Genderpolitik, Frauen verdienen weniger als Männer, Barrierefreiheit, Integration von Behinderten, Inklusion",Equality,"Feminism, marriage for all, adoptions for homosexuals, equality of all cultures, too much gender politics, women earn less than men, accessibility, integration of disabled people, inclusion"
42,Bildungspolitik,"Bildung, Bafög, Bildungsföderalismus, in Bildung investieren, Bildungschancen für alle, zu viele Studenten, kostenlose Bildung für alle",Education policy,"Education, Bafög, educational federalism, invest in education, educational opportunities for all, too many students, free education for all"
43,Schulpolitik,"Lehrermangel, Ganztagsschulen, Pisa-Studie, Zustand der Schulen, Bildung der Schüler, Schule",School policy,"Shortage of teachers, all-day schools, Pisa study, condition of schools, education of students, school"
44,Energiepolitik,"Ausbau/Finanzierung alternativer Energien, mehr Atomkraft, steigende Energiepreise, die Abhängigkeit von Energie, Braunkohle soll nicht mehr abgebaut werden, Energie und Klima, Strom und Gas, Energiesicherheit, weg von Fossilen, Windräder",Energy policy,"Expansion/financing of alternative energies, more nuclear power, rising energy prices, dependency on energy, brown coal should no longer be mined, energy and climate, electricity and gas, energy security, moving away from fossils, wind turbines"
45,Umweltpolitik,"Massentierhaltung, Artenschutz, Abgase, Agrarwende, ökologische Landwirtschaft, nachhaltige Forstwirtschaft, Nachhaltigkeit, ökologische Gerechtigkeit, Feinstaub und Smog, Verschwendung von natürlichen Ressourcen, sozialverträglicher Umweltschutz, Plastik, Ökosteuer, Dieselskandal",Environmental policy,"Factory farming, species protection, emissions, agricultural turn, ecological agriculture, sustainable forestry, sustainability, ecological justice, particulate matter and smog, wastage of natural resources, socially compatible environmental protection, plastic, eco-tax, diesel scandal"
46,Klimapolitik,"Klimaschutzziele, Co2-Emmissionen, Klimakatastrophe",Climate policy,"Climate protection goals, Co2 emissions, climate catastrophe"
47,Naturkatastrophen,"Flutopfer im Ahrtal, Katastrophenschutz",Natural disasters,"Flood victims in the Ahr valley, disaster protection"
48,Wirtschaftspolitik,"Innovationskultur, Autoindustrie, die Wirtschaft in der EU, Konjunktur anheben, Banken, persönliche Wirtschaftslage, Wirtschaftswachstum, Finanzkrise, Besteuerung von KMU, Landwirtschaft, Investitionsstau, sozialökologische Wirtschaft, Börsenkapital, Kapitalismus, Finanzwirtschaft, der Mittelstand…",Economic policy,"Culture of innovation, automotive industry, the economy in the EU, boost the economy, banks, personal economic situation, economic growth, financial crisis, taxation of SMEs, agriculture, investment backlog, socio-ecological economy, stock capital, capitalism, financial economy, the middle class…"
49,Preisniveau,"die hohen Preise, alles wird teurer, Kaufkraftverlust, Preisanstieg, unbezahlbare Lebensmittel, Kosten für Bürger sollten niedriger sein, hohe Lebenshaltungskosten, Geldentwertung",Price level,"the high prices, everything is getting more expensive, loss of purchasing power, price increase, unaffordable food, costs for citizens should be lower, high cost of living, currency devaluation"
50,Infrastruktur,"Investitionen in die Infrastruktur, schlechte/öffentliche Infrastruktur",Infrastructure,"Investments in infrastructure, poor/public infrastructure"
51,Digitale Infrastruktur,"Digitalisierung in deutschen Behörden, Breitbandausbau, Glasfaser, schlechter Mobilfunk, Arbeitslosigkeit infolge von Digitalisierung",Digital infrastructure,"Digitalization in German authorities, broadband expansion, fiber optic, poor mobile service, unemployment due to digitalization"
52,Verkehrspolitik,"Verkehrswende, E-Mobilität, E-Autos, marode Straßen, Verbot der Benziner, Verkehr und Lärm, Verkehrsinfrastruktur, Straßenbau",Transport policy,"Traffic turnaround, e-mobility, electric cars, dilapidated roads, ban on petrol cars, traffic and noise, traffic infrastructure, road construction"
